ID товара,Наименование,Ссылка на товар,Регулярная цена,Промо цена,Бренд
91480,"Вырезка свиная Мираторг охлажденная, ~2.51кг",https://online.metro-cc.ru/products/vyrezka-vakuumnaya-upakovka-miratorg,586.07,0,МИРАТОРГ
90365,Ребрышки Мираторг Деликатесные свиные охлажденные,https://online.metro-cc.ru/products/rebryshki-svinye-delikatesnye-miratorg,599.01,0,МИРАТОРГ
252534,Вырезка Мираторг говяжья из лопатки охлажденная,https://online.metro-cc.ru/products/vyrezka-iz-lopatki-miratorg,1044,1099,МИРАТОРГ
572147,"Голяшка Мираторг говяжья без кости охлажденная, ~2.2кг",https://online.metro-cc.ru/products/golyashka-govyazhya-bez-kosti-miratorg-89222,698.01,779,МИРАТОРГ
420986,"Мякоть лопатки говяжья Заречное охлажденная, ~950г",https://online.metro-cc.ru/products/myakot-lopatki-govyazhya-vakuumnaya-upakovka-zarechnoe,806,919.01,ЗАРЕЧНОЕ
601739328,"Лопатка свиная АгроЭко без кости охлажденная, ~5.8кг",https://online.metro-cc.ru/products/58kg-lopatka-svinaya-agroeko-bk-ohl-vu,339,0,АГРОЭКО
546134,"Стейк Мираторг Стриплойн говяжий охлажденный, 320г",https://online.metro-cc.ru/products/stejk-govyazhij-miratorg-striplojn-320g-82939,699.01,809.01,МИРАТОРГ
601741023,"Шейка свиная АгроЭко без кости охлажденная, ~2.8кг",https://online.metro-cc.ru/products/275kg-sheyka-svinaya-agroeko-bk-ohl-vu,499,0,АГРОЭКО
552841,"Грудинка Мираторг говяжья без кости охлажденная, 800г",https://online.metro-cc.ru/products/grudinka-govyazhya-bez-kosti-800g,1049,1209,МИРАТОРГ
421721,Говядина Мираторг Чак ролл,https://online.metro-cc.ru/products/chak-roll-govyazhij-miratorg,1349,1459,МИРАТОРГ
654782,Котлетное мясо из говядины Вахавяк Плюс бескостное охлажденное,https://online.metro-cc.ru/products/kotletnoe-myaso-gov-b-k-ohl-v-u,531,579,ВАХАВЯК ПЛЮС
601741028,"Окорок свиной АгроЭко без кости охлажденный, ~9кг",https://online.metro-cc.ru/products/9kg-okorok-svinoy-agroeko-bk-ohl-vu,349,0,АГРОЭКО
421029,"Мякоть шеи говяжья Заречное охлажденная, ~1кг",https://online.metro-cc.ru/products/myakot-shei-govyazhya-vakuumnaya-upakovka-zarechnoe,787,929.01,ЗАРЕЧНОЕ
420921,Мякоть боковой части бедра говяжья Заречное,https://online.metro-cc.ru/products/myakot-bokovoj-chasti-bedra-vakuumnaya-upakovka-zarechnoe,920,1039.01,ЗАРЕЧНОЕ
605576389,"METRO Chef Эскалоп свиной бескостный охлажденный, 600г",https://online.metro-cc.ru/products/metro-chef-eskalop-svinoy-beskostnyy-ohlazhdennyy-600g,389,0,METRO CHEF
571409380,"Мякоть говяжьей шейной части Мясо есть! без кости охлажденная, 600г",https://online.metro-cc.ru/products/600g-myakot-sheynoy-chasti-myaso-est-bk-ohl-vu,445.01,549,МЯСО ЕСТЬ!
420699,"Грудинка говяжья Заречное без кости охлажденная, ~1.35кг",https://online.metro-cc.ru/products/grudinka-govyazhya-bez-kosti-vakuumnaya-upakovka-zarechnoe,787,899,ЗАРЕЧНОЕ
601739323,"Вырезка свиная АгроЭко охлажденная, ~2кг",https://online.metro-cc.ru/products/19kg-vyrezka-svinaya-agroeko-ohl-vu,569,0,АГРОЭКО
534839,"Стейк Мираторг Пиканья skin из говядины, 325г",https://online.metro-cc.ru/products/stejk-pikanya-govyazhij-skin-miratorg-325g,559,619,МИРАТОРГ
551536,"Мякоть лопатки Мираторг говяжья охлажденная, 800г",https://online.metro-cc.ru/products/myakot-lopatki-govyazhya-800g,1015,1069,МИРАТОРГ
288164429,"Ребрышки свиные Мираторг охлажденные, ~1.3кг",https://online.metro-cc.ru/products/13kg-rebryshki-svinye-miratorg-ohl-vu,589.01,0,МИРАТОРГ
605548591,"METRO Chef Край филейный из фермерской телятины, 800г",https://online.metro-cc.ru/products/800g-fileynyy-kray-metro-chef-iz-fermerskoy-telyatiny-ohl-vu,1049,0,METRO CHEF
547978,"Стейк Мираторг Минутка говяжий охлажденный, 190г",https://online.metro-cc.ru/products/stejk-miratorg-minutka-190g,260,269.02,МИРАТОРГ
535039,"Стейк Мираторг Prime Рибай из мраморной говядины охлажденный, 390г",https://online.metro-cc.ru/products/stejk-miratorg-ribaj-prime-390g,2049,2399,МИРАТОРГ
605548586,"METRO Chef Шейка бескостная из фермерской телятины, 800г",https://online.metro-cc.ru/products/800g-sheyka-beskostnaya-metro-chef-iz-fermerskoy-telyatiny-ohl,899,0,METRO CHEF
605139558,"Мякоть говядины Мясо есть! Халяль охлажденная, 600г",https://online.metro-cc.ru/products/myakot-govyadiny-myaso-est-halyal-ohlazhdennaya-600g,645,729,МЯСО ЕСТЬ!
494486,"Шейка свиная Сибагро охлажденная, ~4кг",https://online.metro-cc.ru/products/art-626757,534.57,0,СИБАГРО
256077,"Мускул глазной Мираторг говяжий, ~2.4кг",https://online.metro-cc.ru/products/glaznoj-muskul-govyazhij-521157,1378,1539,МИРАТОРГ
516564,Лопатка Слово мясника свиная охлажденная,https://online.metro-cc.ru/products/lopatka-slovo-myasnika,349,389,СЛОВО МЯСНИКА
510324,Край тонкий Orenbeef говяжий половина охлажденный,https://online.metro-cc.ru/products/tonkij-kraj-polovina-govyazhij-orenbeef,892,939,ORENBEEF
538805,"Стейк Мираторг Tender pork из свиной шейки мраморный охлажденный, 280г",https://online.metro-cc.ru/products/stejk-iz-svinoj-shejki-miratorg-tender-pork-mramornyj-280g-60033,225.01,0,МИРАТОРГ
474199,"Стейк Мираторг Prime Skin Стриплойн из мраморной говядины, 640г",https://online.metro-cc.ru/products/stejk-striplojn-miratorg-prime-skin-640g,2489,3099,МИРАТОРГ
7604507,"Стейк Мираторг Matured Beef Чак ролл Skin охлажденный, 650г",https://online.metro-cc.ru/products/steyk-matured-chak-roll-skin-ohlazhdennyy-250g,749,869,МИРАТОРГ
541604,"Карбонад свиной АгроЭко без кости охлажденный, ~4кг",https://online.metro-cc.ru/products/karbonad-svinoy-agroeko-bez-kosti-ohlazhdennyy-4kg,469,0,АГРОЭКО
7604502,"Стейк Мираторг Matured Beef Топ Блейд Skin охлажденный, 450г",https://online.metro-cc.ru/products/steyk-matured-top-bleyd-skin-ohlazhdennyy-250g,550,579,МИРАТОРГ
516567,"Шейка свиная Слово мясника охлажденная, ~1кг",https://online.metro-cc.ru/products/sheya,589.01,0,СЛОВО МЯСНИКА
580722,"Филе кролика Кролъ и К охлажденное, 500г",https://online.metro-cc.ru/products/file-k-500g,589.01,0,КРОЛЪ И К
