ID товара,Наименование,Ссылка на товар,Регулярная цена,Промо цена,Бренд
255672,"Ростбиф говяжий Мираторг охлажденный, ~900г",https://online.metro-cc.ru/products/rostbif-govyazhij-miratorg,1049,1249.01,МИРАТОРГ
91480,"Вырезка свиная Мираторг охлажденная, ~2.51кг",https://online.metro-cc.ru/products/vyrezka-vakuumnaya-upakovka-miratorg,586.07,0,МИРАТОРГ
90365,Ребрышки Мираторг Деликатесные свиные охлажденные,https://online.metro-cc.ru/products/rebryshki-svinye-delikatesnye-miratorg,599.01,0,МИРАТОРГ
256067,"Мякоть бедра Мираторг говяжья охлажденная, ~600г",https://online.metro-cc.ru/products/myakot-bedra-govyazhya-vakuumnaya-upakovka,1102,1239,МИРАТОРГ
576601,"Шейка свиная Черкизово без кости охлажденная, ~3кг",https://online.metro-cc.ru/products/shejka-1-kg,513.97,0,ЧЕРКИЗОВО
252534,Вырезка Мираторг говяжья из лопатки охлажденная,https://online.metro-cc.ru/products/vyrezka-iz-lopatki-miratorg,1044,1099,МИРАТОРГ
421164,Отруб Мираторг Три-тип говяжий,https://online.metro-cc.ru/products/otrub-miratorg-tri-tip-govyazhij,1167,1229,МИРАТОРГ
601739328,"Лопатка свиная АгроЭко без кости охлажденная, ~5.8кг",https://online.metro-cc.ru/products/58kg-lopatka-svinaya-agroeko-bk-ohl-vu,339,0,АГРОЭКО
376061,Огузок Мираторг говяжий,https://online.metro-cc.ru/products/oguzok-govyazhij-mramornyj-miratorg,1079,1269,МИРАТОРГ
601741023,"Шейка свиная АгроЭко без кости охлажденная, ~2.8кг",https://online.metro-cc.ru/products/275kg-sheyka-svinaya-agroeko-bk-ohl-vu,499,0,АГРОЭКО
552841,"Грудинка Мираторг говяжья без кости охлажденная, 800г",https://online.metro-cc.ru/products/grudinka-govyazhya-bez-kosti-800g,1049,1209,МИРАТОРГ
545108,"Стейк Мираторг Рибай скин из говядины охлажденный, 500г",https://online.metro-cc.ru/products/stejk-miratorg-ribaj-skin-500g,969,999,МИРАТОРГ
421721,Говядина Мираторг Чак ролл,https://online.metro-cc.ru/products/chak-roll-govyazhij-miratorg,1349,1459,МИРАТОРГ
242362,"Передняя часть лопатки Заречное говяжья охлажденная, ~1.4кг",https://online.metro-cc.ru/products/file-lopatki-govyazhye,1139,1249.01,ЗАРЕЧНОЕ
654782,Котлетное мясо из говядины Вахавяк Плюс бескостное охлажденное,https://online.metro-cc.ru/products/kotletnoe-myaso-gov-b-k-ohl-v-u,531,579,ВАХАВЯК ПЛЮС
601741028,"Окорок свиной АгроЭко без кости охлажденный, ~9кг",https://online.metro-cc.ru/products/9kg-okorok-svinoy-agroeko-bk-ohl-vu,349,0,АГРОЭКО
421029,"Мякоть шеи говяжья Заречное охлажденная, ~1кг",https://online.metro-cc.ru/products/myakot-shei-govyazhya-vakuumnaya-upakovka-zarechnoe,787,929.01,ЗАРЕЧНОЕ
420921,Мякоть боковой части бедра говяжья Заречное,https://online.metro-cc.ru/products/myakot-bokovoj-chasti-bedra-vakuumnaya-upakovka-zarechnoe,920,1039.01,ЗАРЕЧНОЕ
605576389,"METRO Chef Эскалоп свиной бескостный охлажденный, 600г",https://online.metro-cc.ru/products/metro-chef-eskalop-svinoy-beskostnyy-ohlazhdennyy-600g,389,0,METRO CHEF
571409380,"Мякоть говяжьей шейной части Мясо есть! без кости охлажденная, 600г",https://online.metro-cc.ru/products/600g-myakot-sheynoy-chasti-myaso-est-bk-ohl-vu,445.01,549,МЯСО ЕСТЬ!
420699,"Грудинка говяжья Заречное без кости охлажденная, ~1.35кг",https://online.metro-cc.ru/products/grudinka-govyazhya-bez-kosti-vakuumnaya-upakovka-zarechnoe,787,899,ЗАРЕЧНОЕ
655002,"Тазобедренная часть говяжья Вахавяк Плюс без кости охлажденная, ~4кг",https://online.metro-cc.ru/products/tazobedrennaya-chast-b-k-ohl-v-u,797.01,879,ВАХАВЯК ПЛЮС
534839,"Стейк Мираторг Пиканья skin из говядины, 325г",https://online.metro-cc.ru/products/stejk-pikanya-govyazhij-skin-miratorg-325g,559,619,МИРАТОРГ
551536,"Мякоть лопатки Мираторг говяжья охлажденная, 800г",https://online.metro-cc.ru/products/myakot-lopatki-govyazhya-800g,1015,1069,МИРАТОРГ
605578034,"METRO Chef Шея свиная бескостная стейки охлажденная, 600г",https://online.metro-cc.ru/products/metro-chef-sheya-svinaya-beskostnaya-steyki-ohlazhdennaya-600g,439,0,METRO CHEF
288164429,"Ребрышки свиные Мираторг охлажденные, ~1.3кг",https://online.metro-cc.ru/products/13kg-rebryshki-svinye-miratorg-ohl-vu,589.01,0,МИРАТОРГ
605548591,"METRO Chef Край филейный из фермерской телятины, 800г",https://online.metro-cc.ru/products/800g-fileynyy-kray-metro-chef-iz-fermerskoy-telyatiny-ohl-vu,1049,0,METRO CHEF
547978,"Стейк Мираторг Минутка говяжий охлажденный, 190г",https://online.metro-cc.ru/products/stejk-miratorg-minutka-190g,260,269.02,МИРАТОРГ
422293,Диафрагма Мираторг говяжья тонкая внутренняя,https://online.metro-cc.ru/products/diafragma-govyazhya-tonkaya-vnutrennyaya,1139,1269,МИРАТОРГ
581439,"Стейк Primebeef Минутка из говядины охлажденный, 400г",https://online.metro-cc.ru/products/stejk-minutka-iz-prajmbif-v-vakuumnoj-upakovke-400-g,635,715,PRIMEBEEF
535039,"Стейк Мираторг Prime Рибай из мраморной говядины охлажденный, 390г",https://online.metro-cc.ru/products/stejk-miratorg-ribaj-prime-390g,2049,2399,МИРАТОРГ
496636,"Бекон Мираторг из мраморной говядины, 190г",https://online.metro-cc.ru/products/bekon-iz-mramornoj-miratorg-vakuumnaya-upakovka-190-g,187,199,МИРАТОРГ
7604182,"Пиканья говяжья Мираторг Matured Beef охлажденная, ~2.5кг",https://online.metro-cc.ru/products/pikanya-matured-govyazhya-ohlazhdennaya-25kg,996,1049,МИРАТОРГ
605548586,"METRO Chef Шейка бескостная из фермерской телятины, 800г",https://online.metro-cc.ru/products/800g-sheyka-beskostnaya-metro-chef-iz-fermerskoy-telyatiny-ohl,899,0,METRO CHEF
605139558,"Мякоть говядины Мясо есть! Халяль охлажденная, 600г",https://online.metro-cc.ru/products/myakot-govyadiny-myaso-est-halyal-ohlazhdennaya-600g,645,729,МЯСО ЕСТЬ!
607049398,"Голяшка говяжья Мираторг фермерский бычок без кости охлажденная, ~2.3кг",https://online.metro-cc.ru/products/golyashka-govyazhya-miratorg-fermeskiy-bychok-ohlazhdennaya-23kg,698.01,779,МИРАТОРГ
256077,"Мускул глазной Мираторг говяжий, ~2.4кг",https://online.metro-cc.ru/products/glaznoj-muskul-govyazhij-521157,1378,1539,МИРАТОРГ
516564,Лопатка Слово мясника свиная охлажденная,https://online.metro-cc.ru/products/lopatka-slovo-myasnika,349,389,СЛОВО МЯСНИКА
535796,"Стейк Мираторг Рибай говяжий охлажденный, 320г",https://online.metro-cc.ru/products/stejk-ribaj-iz-mramornoj-miratorg-320g,1109,1309,МИРАТОРГ
538805,"Стейк Мираторг Tender pork из свиной шейки мраморный охлажденный, 280г",https://online.metro-cc.ru/products/stejk-iz-svinoj-shejki-miratorg-tender-pork-mramornyj-280g-60033,225.01,0,МИРАТОРГ
474199,"Стейк Мираторг Prime Skin Стриплойн из мраморной говядины, 640г",https://online.metro-cc.ru/products/stejk-striplojn-miratorg-prime-skin-640g,2489,3099,МИРАТОРГ
7604507,"Стейк Мираторг Matured Beef Чак ролл Skin охлажденный, 650г",https://online.metro-cc.ru/products/steyk-matured-chak-roll-skin-ohlazhdennyy-250g,749,869,МИРАТОРГ
7604502,"Стейк Мираторг Matured Beef Топ Блейд Skin охлажденный, 450г",https://online.metro-cc.ru/products/steyk-matured-top-bleyd-skin-ohlazhdennyy-250g,550,579,МИРАТОРГ
624016155,"Мякоть баранины Эколь Халяль охлажденная, 400г",https://online.metro-cc.ru/products/myakot-baraniny-ekol-halyal-ohlazhdennaya-400g,1229,0,ЭКОЛЬ
516567,"Шейка свиная Слово мясника охлажденная, ~1кг",https://online.metro-cc.ru/products/sheya,589.01,0,СЛОВО МЯСНИКА
571409375,"Мякоть говяжьей лопаточной части Мясо есть! без кости охлажденная, 600г",https://online.metro-cc.ru/products/600g-myakot-lopatochnoy-chasti-myaso-est-bk-ohl-vu,588.01,719,МЯСО ЕСТЬ!
580722,"Филе кролика Кролъ и К охлажденное, 500г",https://online.metro-cc.ru/products/file-k-500g,589.01,0,КРОЛЪ И К
607843830,"Вырезка свиная АгроЭко без кости охлажденная, ~1кг",https://online.metro-cc.ru/products/1kg-vyrezka-svinaya-agroeko-bk-ohl-vu,579,0,АГРОЭКО
420374,"Говядина Заречное наружная часть бедра для запекания охлажденная, ~1.6кг",https://online.metro-cc.ru/products/naruzhnaya-chast-bedra-vakuumnaya-upakovka-zarechnoe,876,985.01,ЗАРЕЧНОЕ
636891349,"Часть тазобедренная говяжья Вахавяк Плюс фирменная охлажденная, 600г",https://online.metro-cc.ru/products/600g-tazobedrennaya-chast-gov-vahavyak-plyus-firmennaya-vu-ohl,503,629,ВАХАВЯК ПЛЮС
164842982,"Поджарка говяжья Эколь Халяль охлажденная, 400г",https://online.metro-cc.ru/products/400g-podzharka-govyazhya-ekol-ohl-lotok,502,529,ЭКОЛЬ
605137978,"Мякоть говяжья Мясо есть! тазобедренной части Халяль охлажденная, 600г",https://online.metro-cc.ru/products/myakot-govyazhya-myaso-est-tazobedrennoy-chasti-halyal-ohlazhdennaya-600g,635,719,МЯСО ЕСТЬ!
476680,"Стейк Мираторг Рамп говяжий Black Angus, 480г",https://online.metro-cc.ru/products/ramp-stejk-miratorg-skin-480g,569,635,МИРАТОРГ
636891294,"Часть лопаточная говяжья Вахавяк Плюс фирменная охлажденная, 600г",https://online.metro-cc.ru/products/600g-lopatochnaya-chast-govyazhya-vahavyak-plyus-firmennaya-vu-ohl,515,579.01,ВАХАВЯК ПЛЮС
607843835,"Окорок свиной АгроЭко без кости охлажденный, ~1кг",https://online.metro-cc.ru/products/1kg-okorok-svinoy-agroeko-bk-ohl-vu,399,0,АГРОЭКО
411520,"Котлетное мясо говяжье Мясо есть! охлажденное, ~1.6кг",https://online.metro-cc.ru/products/kotlety-govyazhyi-vakuumnaya-upakovka-myaso-est,559,629,МЯСО ЕСТЬ!
605228,"Ребрышки говяжьи Эколь Халяль охлажденные, 400г",https://online.metro-cc.ru/products/400-g-rebryshki-govyazhyi-ekol-ohl-gaz-halyal,266,315,ЭКОЛЬ
88591,"Грудинка свиная Останкино без кости крупный кусок охлажденная, ~900г",https://online.metro-cc.ru/products/grudinka-bez-kosti-krupnyj-kusok-vakuumnaya-upakovka-ostankino,519,619,ОСТАНКИНО
495343,Ребрышки Мираторг свиные,https://online.metro-cc.ru/products/rebryshki-svinye-vakuumnaya-upakovka,585,0,МИРАТОРГ
581105,"Стейк Primebeef Яблочко из говядины охлажденный, 400г",https://online.metro-cc.ru/products/stejk-yablochko-iz-prajmbif-v-vakuumnoj-upakovke-400,778,949,PRIMEBEEF
576834,"Тушка кролика Кролъ и К охлажденная, ~1.2кг",https://online.metro-cc.ru/products/tushka-1-kg,715,0,КРОЛЪ И К
419851,"Ребра Заречное Кальби говяжьи охлажденные, ~450г",https://online.metro-cc.ru/products/rebra-kalbi-zarechnoe,880,989,ЗАРЕЧНОЕ
571350625,"Гуляш Мясо есть! из говядины охлажденный, 600г",https://online.metro-cc.ru/products/600g-gulyash-iz-govyadiny-myaso-est-ohl-vu,483,589.01,МЯСО ЕСТЬ!
624137,"Корейка из баранины Эколь Халяль охлажденная, 400г",https://online.metro-cc.ru/products/korejka-iz-ekol-v-lotke-400-g,1029.01,0,ЭКОЛЬ
164017894,"Бефстроганов говяжий Эколь Халяль охлажденный, 400г",https://online.metro-cc.ru/products/400g-befstroganov-govyazhiy-ekol-ohl-lotok,568,679,ЭКОЛЬ
604945059,"Свинина по-дижонски Черкизово охлажденная, 700г",https://online.metro-cc.ru/products/700g-svinina-po-dizhonski-cherkizovo-tf-ohl,379.01,0,ЧЕРКИЗОВО
618832,"Стейк Веско Минутка из говядины, 210г",https://online.metro-cc.ru/products/210g-stejk-minutka-vesko-ohl,303,319,ВЕСКО
576627,"Корейка свиная Черкизово на кости охлажденная, ~2кг",https://online.metro-cc.ru/products/korejka-na-kosti-cherkizovo-vakuumnaya-upakovka,493.38,0,ЧЕРКИЗОВО
632848580,"Оковалок говяжий Мясо есть! Халяль охлажденный, ~5кг",https://online.metro-cc.ru/products/okovalok-govyazhiy-myaso-est-halyal-ohlazhdennyy-5kg,1069,0,МЯСО ЕСТЬ!
607479086,"Говядина Мясо есть! стейк Стриплойн Халяль без кости охлажденная, ~2кг",https://online.metro-cc.ru/products/govyadina-myaso-est-steyk-striployn-halyal-ohlazhdennaya-2kg,1236,1389,МЯСО ЕСТЬ!
420438,"Филе бедра Мираторг говяжье Пиканья охлажденное, ~2кг",https://online.metro-cc.ru/products/file-bedra-miratorg-pikanya-govyazhye,1224,1289,МИРАТОРГ
7604172,"Стейк Мираторг Matured Beef Рибай охлажденный, 250г",https://online.metro-cc.ru/products/steyk-matured-ribay-ohlazhdennyy-250g,716,739,МИРАТОРГ
581153,"Стейк Primebeef Чак ролл из говядины охлажденный, 400г",https://online.metro-cc.ru/products/stejk-chak-roll-iz-prajmbif-v-vakuumnoj-upakovke-400-g,635,719,PRIMEBEEF
604613,"Говядина духовая Эколь Халяль охлажденная, 400г",https://online.metro-cc.ru/products/400-g-duhovaya-ekol-ohl-gaz-halyal,550,579,ЭКОЛЬ
11572326,"Мышца говяжья Вахавяк Плюс пояснично-подвздошная охлажденная, ~1кг",https://online.metro-cc.ru/products/1kg-poyasnichno-podvzdoshnaya-myshtsa-vp-vu-ohl,2279,2599,ВАХАВЯК ПЛЮС
605933,"Азу из говядины Эколь Халяль охлажденное, 400г",https://online.metro-cc.ru/products/400-g-azu-govyazhye-ekol-ohl-gaz-halyal,607,639,ЭКОЛЬ
364690,"Блейд говяжий Мираторг охлажденный, ~2.9кг",https://online.metro-cc.ru/products/blejd-iz-vakuumnaya-upakovka,1538,1619,МИРАТОРГ
605942,"Говядина Эколь Халяль для студня охлажденная, 400г",https://online.metro-cc.ru/products/400-g-dlya-studnya-ekol-ohl-gaz-halyal,432,455,ЭКОЛЬ
576826,"Ножки кролика Кролъ и К охлажденные, ~600г",https://online.metro-cc.ru/products/nozhki-1-kg,939,0,КРОЛЪ И К
567715,"Ребрышки Черкизово свиные классические, ~1.1кг",https://online.metro-cc.ru/products/rebryshki-svinye-delikatesnye-cherkizovo-11kg-79633,499,589.01,ЧЕРКИЗОВО
538806,"Стриплойн говяжий Мираторг Prime без кости охлажденный, ~1кг",https://online.metro-cc.ru/products/striplojn-govyazhij-prime-bez-kosti-vakuumnaya-upakovka-miratorg-1kg-60733,3514.01,3699,МИРАТОРГ
580573,"Ребрышки Самсон свиные охлажденные, ~400-800г",https://online.metro-cc.ru/products/rebryshki-svinye-samson-04-08-kg,669,0,САМСОН
636889704,"Часть шейная говяжья Вахавяк Плюс фирменная охлажденная, 600г",https://online.metro-cc.ru/products/600g-sheynaya-chast-govyazhya-vahavyak-plyus-firmennaya-vu-ohl,439,549,ВАХАВЯК ПЛЮС
508975,"Стейк Мираторг Black Angus Денвер говяжий охлажденный, 290г",https://online.metro-cc.ru/products/stejk-govyazhij-miratorg-denver-290g,1025,1079,МИРАТОРГ
411220,"Ребра говяжьи Заречное охлажденные, ~1.9кг",https://online.metro-cc.ru/products/rebra-govyazhyi-vakuumnaya-upakovka-zarechnoe,901,949,ЗАРЕЧНОЕ
619330140,"Стейк Веско Классический в маринаде, 190г",https://online.metro-cc.ru/products/steyk-vesko-klassicheskiy-v-marinade-190g,239,269.02,ВЕСКО
605137973,"Грудинка говяжья Мясо есть! Халяль без кости охлажденная, 600г",https://online.metro-cc.ru/products/grudinka-govyazhya-myaso-est-halyal-bez-kosti-ohlazhdennaya-600g,506,569,МЯСО ЕСТЬ!
